Vg,Id,Is,Ig,Vd,Rt,Drain Current (nA),|IG| (pA),gm
3.38,2.1758e-10,-3.8069e-10,1.6141e-10,0.05,229800533.137237,0.21758000000000002,161.41,3.872499999999999e-10
3.4,2.191e-10,-3.8191e-10,1.687e-10,0.05,228206298.493838,0.2191,168.7,4.4274999999999994e-10
3.42,2.3529e-10,-3.8669e-10,1.8374e-10,0.05,212503718.815079,0.23529000000000003,183.74,6.334999999999987e-10
3.44,2.4444e-10,-4.0459e-10,1.5742e-10,0.05,204549173.621339,0.24444,157.42000000000002,2.7499999999999915e-10
3.46,2.4629e-10,-4.0698e-10,1.3475e-10,0.05,203012708.595558,0.24628999999999998,134.75,2.265000000000004e-10
3.48,2.535e-10,-4.1499e-10,1.4372e-10,0.05,197238658.77712,0.2535,143.72,2.9924999999999935e-10
3.5,2.5826e-10,-4.1685e-10,1.5937e-10,0.05,193603345.46581,0.25826,159.36999999999998,6.004999999999993e-10
3.52,2.7752e-10,-4.2774e-10,1.9278e-10,0.05,180167195.157106,0.27752,192.78,5.120000000000007e-10
3.54,2.7874e-10,-4.328e-10,1.6156e-10,0.05,179378632.417306,0.27874,161.56,3.104999999999997e-10
3.56,2.8994e-10,-4.5005e-10,1.4961e-10,0.05,172449472.304615,0.28994,149.60999999999999,2.679999999999995e-10
3.58,2.8946e-10,-4.5375e-10,1.1395e-10,0.05,172735438.402543,0.28946,113.95,2.4550000000000044e-10
3.6,2.9976e-10,-4.6355e-10,1.5568e-10,0.05,166800106.752068,0.29976,155.68,4.2899999999999924e-10
3.62,3.0662e-10,-4.6993e-10,1.7299e-10,0.05,163068293.001109,0.30662,172.98999999999998,5.477499999999991e-10
3.64,3.2167e-10,-4.7378e-10,1.8849e-10,0.05,155438803.742966,0.32167,188.49,6.562499999999997e-10
3.66,3.3287e-10,-4.8928e-10,1.5384e-10,0.05,150208790.218404,0.33287,153.84,3.85749999999999e-10
3.68,3.371e-10,-4.9716e-10,1.3267e-10,0.05,148323939.483833,0.3371,132.67,3.037500000000003e-10
3.7,3.4502e-10,-5.0783e-10,1.3736e-10,0.05,144919135.122602,0.34502,137.36,3.4325000000000044e-10
3.72,3.5083e-10,-5.1019e-10,1.5827e-10,0.05,142519168.828207,0.35083000000000003,158.27,6.669999999999986e-10
3.74,3.717e-10,-5.2338e-10,1.888e-10,0.05,134517083.669626,0.37170000000000003,188.8,6.487499999999978e-10
3.76,3.7678e-10,-5.2895e-10,1.5815e-10,0.05,132703434.364881,0.37678,158.15,4.762499999999991e-10
3.78,3.9075e-10,-5.4864e-10,1.5211e-10,0.05,127959053.103007,0.39075000000000004,152.11,3.442499999999999e-10
3.8,3.9055e-10,-5.5268e-10,1.1517e-10,0.05,128024580.719498,0.39055,115.17,4.0049999999999753e-10
3.82,4.0677e-10,-5.6366e-10,1.527e-10,0.05,122919586.006834,0.40676999999999996,152.7,5.114999999999993e-10
3.84,4.1101e-10,-5.702e-10,1.6537e-10,0.05,121651541.325029,0.41101,165.37,6.027500000000002e-10
3.86,4.3088e-10,-5.7754e-10,1.9336e-10,0.05,116041589.305607,0.43088000000000004,193.35999999999999,6.994999999999991e-10
3.88,4.3899e-10,-5.8984e-10,1.5207e-10,0.05,113897810.884075,0.43899,152.07,4.764999999999993e-10
3.9,4.4994e-10,-6.0318e-10,1.3319e-10,0.05,111125927.901498,0.44994,133.19,4.277500000000003e-10
3.92,4.561e-10,-6.141e-10,1.2218e-10,0.05,109625082.218812,0.4561,122.18,3.3425000000000016e-10
3.94,4.6331e-10,-6.1985e-10,1.5462e-10,0.05,107919103.839762,0.46331,154.62,7.054999999999993e-10
3.96,4.8432e-10,-6.3409e-10,1.8154e-10,0.05,103237528.906508,0.48432000000000003,181.54,7.12e-10
3.98,4.9179e-10,-6.4101e-10,1.6398e-10,0.05,101669411.740784,0.49179,163.98000000000002,6.064999999999995e-10
4.0,5.0858e-10,-6.6361e-10,1.4941e-10,0.05,98312949.7817453,0.50858,149.41,4.397499999999957e-10
4.02,5.0938e-10,-6.6625e-10,1.1467e-10,0.05,98158545.6829872,0.5093799999999999,114.67,4.574999999999811e-10
4.04,5.2688e-10,-6.8283e-10,1.4846e-10,0.05,94898269.0555724,0.52688,148.46,6.397499999999892e-10
4.06,5.3497e-10,-6.8879e-10,1.5981e-10,0.05,93463184.851487,0.53497,159.81,7.499999999999836e-10
4.08,5.5688e-10,-6.9859e-10,1.9232e-10,0.05,89785950.2944979,0.55688,192.32,8.279999999999909e-10
4.1,5.6809e-10,-7.1347e-10,1.4736e-10,0.05,88014223.0984527,0.5680900000000001,147.35999999999999,6.132499999999939e-10
4.12,5.8141e-10,-7.2977e-10,1.3053e-10,0.05,85997832.8546121,0.58141,130.53,5.564999999999958e-10
4.14,5.9035e-10,-7.423e-10,1.1649e-10,0.05,84695519.6070128,0.59035,116.49000000000001,4.235000000000021e-10
4.16,5.9835e-10,-7.5023e-10,1.5089e-10,0.05,83563131.9461854,0.59835,150.89000000000001,6.597500000000086e-10
4.18,6.1674e-10,-7.653e-10,1.6997e-10,0.05,81071440.1530629,0.61674,169.97,8.195000000000028e-10
4.2,6.3113e-10,-7.7369e-10,1.6634e-10,0.05,79222981.0023292,0.63113,166.34,7.737499999999973e-10
4.22,6.4769e-10,-7.9654e-10,1.4805e-10,0.05,77197424.6939122,0.64769,148.04999999999998,5.442500000000116e-10
4.24,6.529e-10,-8.054e-10,1.1807e-10,0.05,76581406.0346148,0.6529,118.07000000000001,5.732500000000147e-10
4.26,6.7062e-10,-8.1772e-10,1.4745e-10,0.05,74557871.8201068,0.67062,147.45,7.815000000000027e-10
4.28,6.8416e-10,-8.3236e-10,1.7033e-10,0.05,73082319.9251637,0.68416,170.32999999999998,7.645000000000033e-10
4.3,7.012e-10,-8.4238e-10,1.6864e-10,0.05,71306332.0022818,0.7012,168.64,9.249999999999967e-10
4.32,7.2116e-10,-8.6732e-10,1.4639e-10,0.05,69332741.6939375,0.72116,146.39,5.88999999999983e-10
